,merged_full_name,transactor_type
6518,cte mike harris cte mike harris,Organization
6519,muchmore harrington smalley associat muchmore harrington smalley associates pac,Organization
6520,midland county democratic party midland county democratic party,Organization
6521,dearborn democratic club pac dearborn democratic club pac,Organization
6522,markkanen leadership fund markkanen leadership fund,Organization
6523,ralph rebandt for governor ralph rebandt for governor,Organization
6524,mason county republican committee mason county republican committee,Organization
6525,wexford county republican committee wexford county republican committee,Organization
6526,13th cdrc 13th cdrc,Organization
6527,mi osteopathic pac mopac michigan osteopathic political action committee,Organization
6528,mi milk producers pac michigan milk producers political action committee,Organization
6529,wmg pac wmg pac,Organization
6530,friends of mta friends of mta,Organization
6531,oakland county democratic party oakland county democratic party,Organization
6532,iosco county democratic party iosco county democratic party,Organization
6533,committee to elect laurie pohutsky committee to elect laurie pohutsky,Organization
6534,fems for dems pac fems for dems pac,Organization
6535,gratiot county republican party gratiot county republican party,Organization
6536,fifth third bancorp political action fifth third bancorp political action committee,Organization
7219,dearborn federation of teachers poli dearborn federation of teachers political action fund,Organization
7220,judge ray voet for court of appeals judge ray voet for court of appeals,Organization
7221,cte richard m steenland cte richard m steenland,Organization
7223,eli lilly and company pac eli lilly and company pac,Organization
7224,plumbers & pipefitters local 190 pol plumbers & pipefitters local 190 political action committee,Organization
8743,friends of tom kuhn friends of tom kuhn,Organization
8744,eaton county republican committee eaton county republican committee,Organization
8745,committee to elect diana farrington committee to elect diana farrington,Organization
8746,farrington leadership fund farrington leadership fund,Organization
8747,great lakes timber professionals ass great lakes timber professionals association pac,Organization
8748,michigan automobile dealers politica michigan automobile dealers political action committee,Organization
8749,committee to elect lori stone committee to elect lori stone,Organization
8750,west michigan plumbers fitters and s west michigan plumbers fitters and service trades local union 174 pac,Organization
8751,allegan county democratic party allegan county democratic party,Organization
8752,mi elmntry and mdle schl assc memspa michigan elementary and middle school principals association,Organization
8753,detroit auto dealers pac detroit auto dealers pac,Organization
8754,capitol services pac capitol services pac,Organization
8755,dearborn firefighters political acti dearborn firefighters political action committee,Organization
8756,bricklayers and allied craftworkers bricklayers and allied craftworkers local 2 pac,Organization
8757,michigan physical therapy pac michigan physical therapy pac,Organization
8758,pharmacy pac pharmacy political action council,Organization
8759,committee to elect tullio liberati committee to elect tullio liberati,Organization
8760,washtenaw county republican committe washtenaw county republican committee,Organization
8761,mi community college assn mcca pac michigan community college association political action comm,Organization
8762,equity pac equity pac,Organization
8763,clinton township democratic club sta clinton township democratic club state and local election committee,Organization
8764,michigan association of timberman ti michigan association of timberman timber pac,Organization
8765,phillip joseph for state representat phillip joseph for state representative,Organization
8766,michigan sierra pac michigan sierra pac,Organization
8767,john roth for state rep committee john roth for state rep committee,Organization
8768,the committee to elect tom kunse the committee to elect tom kunse,Organization
8769,shri thanedar for michigan shri thanedar for michigan,Organization
8770,friends of grand valley friends of grand valley,Organization
8771,cms energy corp employees for better cms energy corp employees for better government,Organization
10736,united wholesale mortgage pac united wholesale mortgage pac,Organization
10737,missaukee county republican committe missaukee county republican committee,Organization
10738,damoose leadership fund damoose leadership fund,Organization
10739,genesee democratic party state accou genesee democratic party state account,Organization
10740,detroit fire fighters association po detroit fire fighters association political action fund,Organization
10741,friends of occupational therapy in m friends of occupational therapy in mi mi occupational therapy assoc,Organization
10742,lenawee county republican committee lenawee county republican committee,Organization
10743,international brotherhood of electri international brotherhood of electrical workers local 252 pac fund,Organization
10744,michigan boating industries associat michigan boating industries association pac,Organization
10745,police officers assn of mi poam police officers association of michigan legislative fund,Organization
10746,coam capital campaign fund command officers assoc of mi capital campaign fund,Organization
10747,charlevoix county democratic party charlevoix county democratic party,Organization
10748,pioneer state mutual pac pioneer state mutual pac,Organization
11558,rosemary bayer for senate rosemary bayer for senate,Organization
11559,mi professional firefighters union michigan professional firefighters union political action committee,Organization
11560,bayer for michigan bayer for michigan,Organization
11561,total community options michigan pac total community options michigan pac,Organization
11562,kevin coleman for michigan kevin coleman for michigan,Organization
11563,st clair county democratic committee st clair county democratic committee,Organization
11564,oceana county republican committee oceana county republican committee,Organization
11565,berrien county democratic party berrien county democratic party,Organization
11566,sanilac county republican committee sanilac county republican committee,Organization
11567,waste management employees better go waste management employees better government fund of michigan,Organization
12729,cte rachelle smit for state represen committee to elect rachelle smit for state representative,Organization
12730,sheet metal workers local 80 pac sheet metal workers local 80 political action committee,Organization
12731,grosse pointe democratic club grosse pointe democratic club,Organization
12732,alpena county democratic party alpena county democratic party,Organization
12733,macomb county republican committee macomb county republican committee,Organization
12734,michigan ground water assn pac michigan ground water assn pac,Organization
12735,mi assoc of community bankers of mic mi assoc of community bankers of michigan political action committee,Organization
12736,michigan association of county clerk michigan association of county clerks political action committee,Organization
12737,the mannik and smith group inc michi the mannik and smith group inc michigan pac,Organization
12738,mi business aviation assn mbaa pac michigan business aviation association pac,Organization
12739,michigan infrastructure and transpor michigan infrastructure and transportation assoc pac,Organization
12740,michigan society of anesthesiologist michigan society of anesthesiologists political action committee,Organization
12741,shiawassee county repulican executiv shiawassee county repulican executive committee,Organization
12742,committee to elect roslyn ogburn for committee to elect roslyn ogburn for state representative 3hd,Organization
12743,united association of plumbers and p united association of plumbers and pipefitters local 370 pac,Organization
14852,michigan optometric association pac michigan optometric association political action committee (ssf),Organization
14853,greimel for michigan greimel for michigan,Organization
14854,benzie county republican party benzie county republican party,Organization
14855,friends of timothy h beson friends of timothy h beson,Organization
14856,friends of kathy white friends of kathy white,Organization
14857,cte wendy mazer cte wendy mazer,Organization
14858,wendzel will wendzel will,Organization
14859,lapeer county republican party lapeer county republican party,Organization
14860,michigan corrections organization po michigan corrections organization political action committee,Organization
14861,troopers pac troopers political action committee,Organization
16445,committee to elect samantha stecklof committee to elect samantha steckloff,Organization
16446,michigan society of eye physicians a michigan society of eye physicians and surgeons pac,Organization
16447,upper peninsula plumbers and pipefit upper peninsula plumbers and pipefitters local 111 pac fund,Organization
16448,michigan legislative consultants pac michigan legislative consultants pac,Organization
16449,committee to elect ed mcbroom committee to elect ed mcbroom,Organization
16450,friends of cmu friends of central michigan university,Organization
16451,ford motor company civic action fund ford motor company civic action fund,Organization
16453,mi state afl cio cope contributions michigan state afl cio cope contributions fund,Organization
16454,committee to elect jeremiah keeler committee to elect jeremiah keeler,Organization
16455,teamsters 247 political action commi teamsters 247 political action committee,Organization
16456,yes on national popular vote of mich yes on national popular vote of michigan,Organization
16457,teamsters 332 political action commi teamsters 332 political action committee,Organization
16458,gladwin county democratic party gladwin county democratic party,Organization
16459,united we can michigan (superpac) united we can michigan (superpac),Organization
16460,green and white pac green and white pac,Organization
16461,leadership for democracy fund leadership for democracy fund,Organization
16462,friends of john reilly friends of john reilly,Organization
16463,manistee county democratic committee manistee county democratic committee,Organization
16464,waterford democratic club waterford democratic club,Organization
16465,committee to elect michael webber committee to elect michael webber,Organization
16466,kheder davis associates pac kheder davis associates pac,Organization
16467,jackson county republican committee jackson county republican committee,Organization
16468,michigan health choice alliance michigan health choice alliance,Organization
16469,cte doug wozniak cte doug wozniak,Organization
16470,julie alexander for state rep julie alexander for state representative,Organization
16471,kahle majority fund kahle majority fund,Organization
16472,black slate inc black slate inc,Organization
16473,hauck majority fund hauck majority fund,Organization
16474,annette glenn for michigan annette glenn for michigan,Organization
16475,annette glenn for state senate annette glenn for state senate,Organization
16476,alexander majority fund pac alexander majority fund pac,Organization
16477,emmet county republican committee emmet county republican committee,Organization
16478,michigan credit union league action michigan credit union league action fund,Organization
18185,mi assn cert pub accntns macpa pac michigan association of certified public accountants political action co,Organization
19733,pfizer michigan pac pfizer michigan pac,Organization
19734,chippewa co dem party chippewa county democratic party,Organization
19735,shiawassee county democratic party shiawassee county democratic party,Organization
19736,farm pac (superpac) farm pac (superpac),Organization
19737,michigan chamber political action co michigan chamber political action committee,Organization
19738,benzie county democratic committee benzie county democratic committee,Organization
19739,msuwc pac michigan state utility workers council afl cio pac,Organization
19740,committee to elect yousef rabhi committee to elect yousef rabhi,Organization
19741,liberty and justice for all liberty and justice for all,Organization
19742,american electric power company mi c american electric power company mi comm for responsible government,Organization
19743,clare county republican party clare county republican party,Organization
19744,michigan association of school socia michigan association of school social workers,Organization
19745,ottawa county republican committee ottawa county republican committee,Organization
19746,mortgage bankers association of mich mortgage bankers association of michigan pac,Organization
19747,bradley slagh for michigan bradley slagh for michigan,Organization
19748,sean mccann for state senate sean mccann for state senate,Organization
19749,mccann for michigan mccann for michigan,Organization
19750,logan byrne for state representative logan byrne for state representative,Organization
19751,carter for michigan pac carter for michigan pac,Organization
19752,committee to elect brenda carter committee to elect brenda carter,Organization
19753,michigan manufactured housing rv and michigan manufactured housing rv and campground assn pac,Organization
19754,albert majority fund albert majority fund,Organization
19755,detroit forward together (superpac) detroit forward together (superpac),Organization
19756,isabella county republican committee isabella county republican committee,Organization
19757,comerica inc political action commi comerica inc political action committee,Organization
21573,detroit police officers association detroit police officers association political action committee,Organization
22909,detroit regional chamber political a detroit regional chamber political action committee,Organization
22910,dykema gossett state pac dykema gossett state pac,Organization
22911,j b moss voice of the electorate j b moss voice of the electorate (vote),Organization
24745,m-acre pac michigan action committee for rural electrification,Organization
24746,priority health political action com priority health political action committee,Organization
24747,fair and equal michigan fair and equal michigan,Organization
24748,pipefitters local 636 pac pipefitters local 636 pac,Organization
25902,michigan fire chiefs pac michigan fire chiefs pac,Organization
25903,nabipmi pac nabipmi pac,Organization
25904,michigan farm bureau political actio michigan farm bureau political action committee,Organization
29736,entergy corporation pac entergy corporation political action committee,Organization
29737,uaw michigan voluntary political act uaw michigan voluntary political action committee,Organization
31018,giarmarco mullins and horton pac giarmarco mullins and horton pac,Organization
31019,sheet metal workers local 7 pac sheet metal workers local 7 pac,Organization
31020,family law pac (flspac) family law political action committee,Organization
31021,county road association roads plus county road association roads plus,Organization
31022,friends of wayne state pac friends of wayne state pac,Organization
31023,michigan beer and wine wholesalers s michigan beer and wine wholesalers state pac,Organization
33103,higgins lake property owner associat higgins lake property owner association pac,Organization
33104,teamsters 214 political action commi teamsters 214 political action committee,Organization
33105,mi academy pac michigan academy of nutrition and dietetics pac,Organization
33106,teamsters 243 political action commi teamsters 243 political action committee,Organization
33107,teamsters 283 political action commi teamsters 283 political action committee,Organization
33108,kyra harris bolden for state rep kyra harris bolden for state rep,Organization
33109,committee to elect scott mcgraw committee to elect scott mcgraw,Organization
33110,sevag vartanian for u of m regent sevag vartanian for u of m regent,Organization
33111,friends of heidi warrington friends of heidi warrington,Organization
33112,michigan action state superpac michigan action state superpac,Organization
33113,realtors pac of mi realtors political action committee of michigan,Organization
37130,manistee county republican committee manistee county republican committee,Organization
38941,genesee landlords assn pac genesee landlords association political action committee,Organization
38942,michele hoitenga for state senate michele hoitenga for state senate,Organization
38943,realtors pac of mi ii realtors political action committee of michigan ii,Organization
38944,st clair county republican committee st clair county republican committee,Organization
38945,support fhps support fhps,Organization
38946,michigan association of ambulance se michigan association of ambulance services ems pac,Organization
38947,kellanova political action committee kellanova political action committee - michigan,Organization
38948,business leaders for michigan pac business leaders for michigan pac,Organization
38949,support las support las,Organization
38950,business leaders for michigan pac ii business leaders for michigan pac ii (superpac),Organization
38951,michigan league of conservation vote michigan league of conservation voters inc political action committee,Organization
38952,rodney wakeman for state representat rodney wakeman for state representative,Organization
38953,judge kathleen feeney for court of a judge kathleen feeney for court of appeals,Organization
38954,michigan freedom network michigan freedom network,Organization
38955,teamsters 337 political action commi teamsters 337 political action committee,Organization
38956,teamsters 614 political action commi teamsters 614 political action committee,Organization
38957,teamsters democratic republican inde teamsters democratic republican independent voter education pac,Organization
38958,republican state leadership committe republican state leadership committee michigan pac,Organization
40632,teamsters 299 political action commi teamsters 299 political action committee,Organization
40633,michigan public employees seiu local michigan public employees seiu local 517m political action committee,Organization
40634,livonia republican club livonia republican club,Organization
40635,berrien county republican committee berrien county republican committee,Organization
40636,molina healthcare inc michigan polit molina healthcare inc michigan political committee,Organization
41773,associated builders and contractors associated builders and contractors pac,Organization
41774,associated builders and contractors associated builders and contractors of michigan merit fund (superpac),Organization
41775,rock holdings inc state pac rock holdings inc state pac,Organization
41776,teamsters 406 political action commi teamsters 406 political action committee,Organization
43266,teamsters 1038 political action comm teamsters 1038 political action committee,Organization
43267,st joseph county republican comm st joseph county republican committee,Organization
43269,bay county democratic party bay county democratic party,Organization
43270,committee to elect pauline wendzel committee to elect pauline wendzel,Organization
43271,macomb county democratic committee macomb county democratic committee,Organization
43272,mi boilermakers state and local pac michigan boilermakers state and local pac,Organization
43273,tuscola county democratic party tuscola county democratic party,Organization
43274,roscommon county republican party roscommon county republican party,Organization
43275,working class party committee working class party committee,Organization
43276,north oakland democratic club victor north oakland democratic club victory fund,Organization
43277,vertex pharmaceuticals inc pac vertex pharmaceuticals incorporated political action committee,Organization
43278,dow inc pac (dowpac) dow inc pac (dowpac),Organization
43279,operating engineers local 324 pac operating engineers local 324 st of mi pac,Organization
43280,corteva inc employees pac corteva ag corteva inc employees pac corteva agriscience pac,Organization
43281,international brotherhood of electri international brotherhood of electrical workers political action cmte,Organization
44491,young democrats of michigan young democrats of michigan,Organization
44492,dte energy company political action dte energy company political action committee,Organization
46834,ottawa county democratic party ottawa county democratic party,Organization
47677,amerisure pac ameripac amerisure political action committee,Organization
47678,chaldean chamber political action co chaldean chamber political action committee,Organization
47679,huntington national bank-michigan po huntington national bank-michigan political action committee,Organization
47680,marquette county republican party marquette county republican party,Organization
47681,hamtramck federation of teachers pac hamtramck federation of teachers pac,Organization
47682,fighting for michigan fund fighting for michigan fund,Organization
47683,friends of west michigan business gr friends of west michigan business grand rapids area chamber of commerce,Organization
47684,aric nesbitt for state senate aric nesbitt for state senate,Organization
47685,flagstar bank pac flagstar bank pac,Organization
48529,plumbers union local 98 plumbers union local 98,Organization
49962,local 1557 intl assoc of firefighter international association of firefighters local 1557 pac,Organization
49963,mi roofers local 149 pac michigan roofers local 149 political action committee,Organization
49964,citizens for traditional values poli citizens for traditional values political action committee,Organization
49965,ken horn for senate ken horn for senate,Organization
49966,swing left michigan state fund swing left michigan state fund,Organization
49967,committee to elect christine morse f committee to elect christine morse for state house,Organization
49968,westland fire fighters separate segr westland fire fighters separate segregated funds pac,Organization
49969,mi pipe trades assoc independent exp mi pipe trades assoc independent expenditure political comm (superpac),Organization
49970,merck and co inc employees pac merck and co inc employees pac,Organization
49971,ind mi political action council of t ind mi political action council of teachers,Organization
49972,national federation of ind business national federation of ind business michigan political action committee,Organization
49973,michigan harness horsemens associati michigan harness horsemens association pac,Organization
49974,michele for michigan michele for michigan,Organization
49975,friends of saginaw valley state univ friends of saginaw valley state university,Organization
49976,beth griffin for state rep beth griffin for state rep,Organization
49977,committee to elect steve carra committee to elect steve carra,Organization
49978,progressive womens alliance of west progressive womens alliance of west michigan,Organization
49979,committee to elect ann manary state committee to elect ann manary state rep,Organization
49980,deloitte political action committee deloitte political action committee,Organization
49981,michigan orthopaedic society pac michigan orthopaedic society pac,Organization
49982,midwest strategy group pac midwest strategy group pac,Organization
49983,michigan licensed beverage assoc pac michigan licensed beverage association political action committee,Organization
49984,friends of southwestern mi college friends of southwestern michigan college,Organization
49985,lapeer co dem party lapeer county democratic party,Organization
49986,jack omalley for state representativ jack omalley for state representative,Organization
49987,michael brown for governor michael brown for governor,Organization
49988,wayne county democratic black caucus wayne county democratic black caucus,Organization
49989,michigan nurses association politica michigan nurses association political action committee,Organization
49990,midland county republican committee midland county republican committee,Organization
49991,progress plymouth pac progress plymouth pac,Organization
49992,meijer political action committee meijer political action committee,Organization
51616,mi restaurant  and lodging assoc pac michigan restaurant and lodging association political action committee,Organization
51618,michigan doctors political action co michigan doctors political action committee,Organization
51619,friends to elect michele hoitenga friends to elect michele hoitenga for state rep,Organization
51620,michigan assisted living association michigan assisted living association political action committee,Organization
51621,daga pac michigan daga pac michigan,Organization
51622,committee to elect gary howell committee to elect gary howell,Organization
51623,michigan commercial real estate pac michigan commercial real estate pac,Organization
51624,victory values fund victory values fund,Organization
51625,ivote mi pac ivote mi pac,Organization
51626,we the people mi pac (superpac) we the people mi pac (superpac),Organization
51627,karoub associates political action c karoub associates political action committee,Organization
51628,manley justice fund (superpac) manley justice fund (superpac),Organization
51629,plumbers and pipefitters local 333 p plumbers and pipefitters local 333 pac,Organization
52681,a t and t michigan pac a t and t michigan pac,Organization
54181,kara hope for state representative kara hope for state representative,Organization
54182,grand traverse county republican par grand traverse county republican party,Organization
54183,mda dental pac mda dental pac,Organization
54184,united food and commercial workers m united food and commercial workers michigan pac,Organization
54185,henry ford health system government henry ford health system government affairs services pac,Organization
54186,second congressional dist democratic second congressional district democratic party,Organization
54187,monroe county democratic executive p monroe county democratic executive party,Organization
55516,southwest michigan first pac southwest michigan first political action committee,Organization
55517,lewis and munday pac lewis and munday pac,Organization
55518,committee to elect erin zimmer committee to elect erin zimmer,Organization
55519,insurance alliance of michigan polit insurance alliance of michigan political action committee,Organization
55520,schostak family pac sf properties llc political action committee,Organization
55521,tri city leadership pac tri city leadership pac,Organization
55522,coalition for common sense coalition for common sense,Organization
55523,oakland leadership fund oakland leadership fund,Organization
55524,west oakland republican committee pa west oakland republican committee pac,Organization
55525,ronnie peterson committee ronnie peterson committee,Organization
55526,get kids back to school pac get kids back to school pac,Organization
55527,houghton county democratic committee houghton county democratic committee,Organization
55528,allstate insurance company pac allstate insurance company pac,Organization
55529,nextera energy inc political action nextera energy inc political action committee,Organization
55530,state farm mutual automobile insuran state farm mutual automobile insurancre company federal political action,Organization
55531,michigan strong (superpac) michigan strong (superpac),Organization
55532,democratic association of secretarie democratic association of secretaries of state,Organization
55533,wayne 11th congressional district re wayne 11th congressional district republican committee,Organization
55534,northville democratic club pac northville democratic club pac,Organization
55535,friends of bronwyn haltom friends of bronwyn haltom,Organization
55536,committee to elect marla linderman r committee to elect marla linderman richelew,Organization
55537,committee to elect todd schorle ii committee to elect todd schorle ii,Organization
55538,committee to elect steven thomas committee to elect steven thomas,Organization
55539,committe to elect diane saber committe to elect diane saber,Organization
57568,mi academy of physician assistants michigan academy of physician assistants,Organization
57569,michigan veterinary medical associat michigan veterinary medical association pac,Organization
57570,mi assn of health plans pac mahp pac michigan association of health plans political action committee,Organization
57571,voters not politicians voters not politicians,Organization
57572,independence blue cross llc pac (spo independence blue cross llc pac (sponsored by amerihealth inc.),Organization
57573,engineering michigans future engineering michigans future,Organization
57574,committee to elect ryan roberts committee to elect ryan roberts,Organization
57575,muskegon county conservative womens muskegon county conservative womens caucus,Organization
57576,paul steven jancha for district cour paul steven jancha for district court judge committee,Organization
57577,fred green political action committe fred green political action committee,Organization
57578,paul wojno for state senate paul wojno for state senate,Organization
57579,st joseph county democratic committe st joseph county democratic committee,Organization
57580,meerman majority fund meerman majority fund,Organization
57581,kim lasata for state senate kim lasata for state senate,Organization
57582,monroe county republican party execu monroe county republican party executive committee,Organization
57583,mi assoc of health plans (superpac) michigan association of health plans advocacy pac (superpac),Organization
57584,otsego county republican committee otsego county republican committee,Organization
57585,lake county democratic party lake county democratic party,Organization
57586,keep improving michigan pac keep improving michigan political action committee,Organization
57587,canton democratic club canton democratic club,Organization
57588,fink majority fund fink majority fund,Organization
57589,whiteford leadership fund whiteford leadership fund,Organization
57590,committee to elect mary whiteford committee to elect mary whiteford,Organization
57591,arianne slay for judge arianne slay for judge,Organization
57592,friends of ruth johnson friends of ruth johnson,Organization
57593,cte chad moore cte chad moore,Organization
57594,citizens to elect luke meerman for s citizens to elect luke meerman for state house,Organization
57595,osceola county republican committee osceola county republican committee,Organization
57596,friends of michigans community healt friends of michigans community health centers,Organization
57597,314 action victory fund 314 action victory fund,Organization
57598,henry ford comm college fed hfcc pac henry ford community college federation of teachers pac,Organization
57599,committee to elect daire rendon committee to elect daire rendon,Organization
57600,4th congressional dist rep comm 4th congressional district republican committee,Organization
57601,m power pac m power pac,Organization
57602,lagrandpac lagrandpac,Organization
57603,samuel bagenstos for justice samuel bagenstos for justice,Organization
57604,sarah hubbard for michigan sarah hubbard for michigan,Organization
57605,travis menge for msu trustee travis menge for msu trustee,Organization
57606,lauren hantz for michigan lauren hantz for michigan,Organization
57607,committee to elect mike shirkey stat committee to elect mike shirkey state senate,Organization
57608,vanwoerkom solutions pac vanwoerkom solutions pac,Organization
57609,michigan craft distillers associatio michigan craft distillers association political action committee,Organization
57610,michigan strong future pac michigan strong future pac,Organization
57611,compete michigan political action co compete michigan political action committee 2,Organization
57612,cte karen whitsett for state rep committee to elect karen whitsett for state representative,Organization
57613,friends of daylen howard friends of daylen howard,Organization
57614,pat outman for state representative pat outman for state representative,Organization
57615,dale zorn for senate dale zorn for senate,Organization
59221,pursuit of justice pursuit of justice,Organization
59222,friends of linda glisman friends of linda glisman,Organization
59223,grow michigan pac grow michigan pac,Organization
59224,grand rapids firefighters union pac grand rapids firefighters union political action committee,Organization
59225,committee to elect sarah lightner committee to elect sarah lightner,Organization
59226,mary cavanagh mary cavanagh,Organization
59227,mi assn nurse anesthetists mana pac michigan association of nurse anesthetists pac,Organization
59228,cte lily cheng schulting cte lily cheng schulting,Organization
59229,for our futures fund for our futures fund,Organization
59230,jonathan lindsey for state senate jonathan lindsey for state senate,Organization
59231,committee to elect david lagrand committee to elect david lagrand,Organization
59232,josh schriver for state representati josh schriver for state representative,Organization
59233,witwer for michigan witwer for michigan,Organization
59234,cte jaime greene cte jaime greene,Organization
59235,safe lending michigan safe lending michigan,Organization
59236,oakland county republican party oakland county republican party,Organization
59237,friends of west michigan schools friends of west michigan schools,Organization
59238,jason morgan for state representativ jason morgan for state representative,Organization
59239,north macomb pac north macomb pac,Organization
59240,michigan in home care pac michigan in home care pac,Organization
59241,delta county democratic party delta county democratic party,Organization
59242,friends of hope network friends of hope network,Organization
59243,committee to elect amos oneal committee to elect amos oneal,Organization
59244,maddock leadership fund maddock leadership fund,Organization
59245,the people for ryder rodriguez the people for ryder rodriguez,Organization
60976,charlevoix county republican committ charlevoix county republican committee,Organization
60977,growing michigan growing michigan,Organization
60978,friends of phil green friends of phil green,Organization
60979,health alliance plan pac health alliance plan pac,Organization
60980,clinton county democratic party clinton county democratic party,Organization
60981,green thumb leadership green thumb leadership,Organization
60983,advancing michigan advancing michigan,Organization
60984,committee to elect roger hauck (stat committee to elect roger hauck (state senate),Organization
60985,committee to elect chris tuski committee to elect chris tuski,Organization
60986,friends of erika geiss friends of erika geiss,Organization
60987,cte dan lauwers for senate cte dan lauwers for senate,Organization
60988,friends of matt maddock  for st rep friends of matt maddock for state rep,Organization
60989,justice for michigan justice for michigan,Organization
60990,hornberger majority fund pac hornberger majority fund pac,Organization
60991,sarah anthony leadership fund pac sarah anthony leadership fund pac,Organization
60992,sarah anthony for state representati sarah anthony for state representative,Organization
60993,friends of greg vanwoerkom friends of greg vanwoerkom,Organization
60994,arab american political action commi arab american political action committee,Organization
60995,warren professional firefighters ss warren professional firefighters ss fund,Organization
60996,roger victory for state senate roger victory for state senate,Organization
60997,friends of tim sneller friends of tim sneller,Organization
60998,jmr all star pac jmr all star pac,Organization
60999,julie rogers for state rep julie rogers for state rep,Organization
61000,committee to elect cynthia r neeley committee to elect cynthia r neeley,Organization
61001,green party of michigan committee green party of michigan committee,Organization
61002,padma for the people pac padma for the people pac,Organization
61003,stephanie a young for state represen stephanie a young for state representative,Organization
61004,committee to elect scott vansingel committee to elect scott vansingel,Organization
61005,sam singh for state senate sam singh for state senate,Organization
